id,paragraphs
305,bethany antonia replaces shani smethurst teenage baela targaryen
306,phoebe campbell replaces eva ossei gerning teenage rhaena targaryen
307,episode series far feature dragon although feature dragon egg
308,alicent enters room rhaenyra daemon scar rhaenyra left forearm result alicent attack previous episode seen
309,conversation lucerys jace show aware father identity
310,final scene viserys whose health seriously deteriorated mistake alicent rhaenyra previously talked song ice fire rhaenyra last conversation continuation daughter night prior
311,rhaenyra reunites father viserys mistake alicent foreshadowing making reverse mistake
312,viserys us dying word proclaim belief rhaenyra prince promised unfortunately alicent privy information aegon dream prior misinterprets viserys mentioning aegon indicating wish son aegon succeed king
313,third time aegon conqueror prophetical dream mentioned show following heir dragon king narrow sea similarly previous reference include second part rhaegar enigmatic word dragon three head
314,part viserys dropped crown daemon picked handed back viserys original script episode director geeta patel revealed touching moment completely unplanned 1
315,actor paddy considine later confirmed viserys last word deathbed love also improvised 2
316,throughout episode green right viserys side rotting missing eye black side remaining eye iron throne dinner table bed rhaenyra daemon approach viserys left later alicent approach right
317,slight resemblance fate vaemond eddard stark correctly accused queen eddard cersei vaemond rhaenyra child bastard beheaded
318,altered deleted scene
319,daemon toasting viserys last supper cut director geeta patel felt undercut power previous moment two brother throne room 3
320,book
321,episode adapted chapter heir dragon — question succession fire blood
322,gallery
323,video
324,image
325,promotional still
326,screenshots
327,reference
328,external link
329,lord tide wiki ice fire
330,lord tide hbo
331,lord tide imdb
332,lord tide wikipedia article episode council see green council
333,green council ninth episode first season house dragon ninth episode series overall premiered october 16 2022 hbo hbo max written sara hess directed clare kilner
334,premise
335,alicent enlists cole aemond track aegon otto gather great house westeros affirm allegiance
336,synopsis
337,coup begin
338,dead night servant boy discovers king viserys died sleep immediately informs queen alicent hightower lady waiting talya wake alert mistress husband passing tearful alicent hastily dress head father chamber tower hand informing king death husband seeming choice deathbed rename heir eldest son aegon unbeknowst talya light candelabra window viserys chamber signal someone king landing
339,small council hastily convened ser tyland lannister asks matter could waited dawn sarcastically asking dorne invaded silenced otto informs king dead otto sombrely note grieve fallen sovereign dubbing late king viserys peaceful noting viserys given final gift naming aegon heir tyland note proceed blessing long laid plan otto agrees begin suggesting replace two captain city watch known loyal daemon appalled alicent demand know informed member council plotting install son heir without knowledge lord jasper wylde reply want sully scheme lord commander harrold westerling lord lyman beesbury also appalled subterfuge latter furiously raging council member plotting replace viserys chosen heir eldest daughter rhaenyra imposter tyland protest aegon king first born son hardly imposter lyman responds hundred lord landed knight swore fealty rhaenyra heir tyland retort twenty year ago since died jasper wylde also asserts whether plotting irrelevant since king changed mind furious lyman snap known viserys longer incumbent small council refuse believe viserys tireless advocate daughter right iron throne decade would change mind deathbed noting well suspiciousness witness change heart new heir mother angrily accusing treason grand maester orwyle try calm matter lyman refuse silenced going far insinuate one member small council committed regicide given viserys well enough previous day say criston cole angrily seizes lyman force back seat unfortunately force cole us slam frail lyman head table fatally cracking skull horror furious harrold draw sword order cole forfeit white cloak cole draw blade justifying action retribution beesbury slandering queen accusation regicide two kingsguard come blow alicent otto order stand orwyle request leave remove lyman body room otto refuse insisting council chamber door remain shut business concluded
340,otto tyland begin discussing dividing gold within royal treasury alicent asks rhaenyra otto reply allow former heir rally support claim incredulous alicent infers otto intends imprison rhaenyra family otto asserts given chance publicly swear obeisance new king alicent scoff neither rhaenyra daemon ever realize otto fellow conspirator mean kill rhaenyra family orwyle insists leaving rival claimant alive invite bloodshed otto asserts killing necessary sacrifice ensure aegon succession insisting viserys would want unsavory power squabble furious alicent shout viserys would never condoned murder beloved daughter threatens jasper exile night watch try speak favor plan though alicent offer alternative tyland asks one otto order harrold take knight dragonstone assassinate rhaenyra family disgusted harrold resigns kingsguard protest
341,hunt aegon
342,beast beneath board
343,green watch seeming successful completion plan floor dragonpit erupts cheering crowd turn scream panic colossal dragon claw way cavern main hall flattening panicking spectator tail talon terrified smallfolk try escape direction either climbing dragonpit upper floor streaming gate gold cloak desperately try close though crushed fallen debris sent flying rampaging dragon swept hole created escape green dais watch incredulous horror dragon emerges pall ash debris thrown escape revealing meleys rhaenys sat astride back clad ornate suit dragonrider armor panicking otto bellow gold cloak open dragonpit door allow escape command go unheard chaos rhaenys directs meleys towards dais fury red queen queen never bearing alicent order criston get helaena safety placing aegon snarling dragon despite entire green faction mercy whether respect alicent love son refusal make kinslayer rhaenys withholds giving meleys command kill
344,red queen roar fury rhaenys give alicent cold look signaling rejection alicent request support directing meleys towards dragonpit closing door dragon furling wing gliding door inch spare flying alicent aegon warily watch rhaenys go aware likely heading straight dragonstone inform rhaenyra happened well fearing rhaenyra react learns father death usurpation throne
345,appearance
346,main article green council appearance
347,cast
348,note
349,12 18 starring cast member appear episode
350,starring cast member matt smith daemon targaryen emma arcy rhaenyra targaryen steve toussaint corlys velaryon harry collett jacaerys velaryon bethany antonia baela targaryen phoebe campbell rhaena targaryen credited appear episode
351,episode final appearance starring cast member paddy considine viserys targaryen due death character end previous episode
352,guiomar alonso marco bertagna robert bowen phil campbell christopher cox david cronnelly matt crook tom crowley elli matt dasilva levan doran josh dyer ben essex eduardo gago jonty green ryan green richard hansen nicklas hansson rob hayns lyndon hellewell robert hladik james horan max haeusle rowley irlam jamie karitzis robbie keane saul lockwood leigh maddern tina maskell leona mccarron elliot murray joshua ravenscroft andrej riabokon brian robinson nick roeten jodie saunders hasit savani jake shallcross paul shapcott jamie stanley sam stefan harvey taylor marek toth josh wheeldon richard wheeldon willoughby eldredd wolf mark ward stunt performer episode
353,behind scene
354,episode title refers fact small council except lyman beesbury manned entirely green
355,first episode daemon targaryen rhaenyra targaryen appear
356,contrast former episode episode begin point previous episode ended without jumping year ahead
357,episode take place entirely king landing
358,episode follows tradition game throne include pivotal event typically battle ninth episode season
359,lord boremund baratheon dy point 116 132 ac succeeded son borros baratheon lord storm end acknowledged ser tyland lannister small council
360,aemond state next line aegon even aemond older sister helaena aegon daughter jaehaera excluded line succession aegon still son would seemingly come aemond
361,lyman beesbury state 76 year old fire blood 80 76 age bill paterson actor portrays time filming 1
362,discussion council meeting rhaenyra similar discussion robert baratheon small council whether assassinate daenerys targaryen wolf lion game throne eddard viii similarly eddard stark alicent object kill rhaenyra harrold westerling disdainfully resigns office book barristan selmy also unlike ser harrold resign
363,unknown stopped rhaenys destroying green thus preventing subsequent war maybe want become kinslayer killing viserys offspring since alicent harmed though could rhaenys chose spare life want get involved conflict green black thought demonstration power enough discourage green thing turn book rhaenys king landing point one interrupted aegon coronation
364,rhaenys provide explanation refusal kill green next episode daemon blame letting live stating knew war would erupt considered one start
365,seedy place aemond ser criston visit known rat pit place found slum district like flea bottom major city westeros contrast slaver bay establishment operate openly officially storm sword daenerys ii
366,happened former episode princess queen driftmark helaena keep revealing prophetic ability word beast beneath board foreshadow final scene
367,aegon wear black crown aegon conqueror maegor cruel wore golden crown father great grandfather wore moreover aegon wields blackfyre also used aegon maegor cruel may foreshadow aegon reign plagued battle peaceful reign period jaehaerys viserys
368,heir dragon viserys told aemma dream son born wearing aegon iron crown heard sound thundering hoof splintering shield ringing sword placed son upon iron throne bell grand sept tolled dragon roared one dream could foreshadowing aegon coronation though detail match final scene aegon aemma son one dragon
369,rhaenys act killing civilian slightly resembles daenerys targaryen many year later though latter much bigger scale case early warning sign capable committing inhumane deed hint daenerys gradually succumbing targaryen madness significance became clear massacre committed
370,alicent tell rhaenys loved husband speak truth know queen alicent must missed irony say rhaenys competent reign viserys time request rhaenys support drunken irresponsible fool son aegon claim throne instead rhaenyra clearly better choice monarch
371,book
372,episode adapted chapter dying dragon — black green fire blood also influenced following chapter game throne
373,chapter 33 eddard viii small council argues whether kill targaryen two member object one council member disdainfully resigns office
374,gallery
375,video
376,image
377,promotional still
378,screenshots
379,reference
380,external link
381,green council wiki ice fire
382,green council hbo
383,green council imdb
384,green council wikipedia black queen tenth final episode first season house dragon tenth episode series overall premiered october 23 2022 hbo hbo max written ryan condal directed greg yaitanes
385,premise
386,mourning tragic loss rhaenyra try hold realm together daemon prepares war
387,synopsis
388,dark wing dark word
389,pregnant rhaenyra targaryen find second son lucerys velaryon studying island driftmark painted table dragonstone lucerys insists lordship passed vaemond velaryon rather rhaenyra assures son felt way father viserys named heir promise viserys prepared play part moment mother son interrupted ser lorent marbrand kingsguard informs rhaenyra princess rhaenys arrived dragonback request audience prince daemon
390,ser lorent lead rhaenys rhaenyra asks word husband corlys recovery rhaenys interrupt inform rhaenyra father dead half brother aegon crowned successor stunned daemon asks brother died rhaenys admits ignorance daemon accuses alicent hightower murdered rhaenys explains made prisoner chamber green made preparation witnessed aegon coronation dragonpit escaping atop meleys rhaenyra appalled learn green crowned aegon mass king landing knowing rhaenys reiterates mass see aegon rightful king daemon angrily demand know rhaenys burn green mercy rhaenys reply war follow place declare war brought warning loyalty house husband rhaenys advises rhaenyra leave dragonstone family green come rhaenyra double pain reach beneath dress finger coming away bloody shock news sent premature labor
391,rhaenyra struggle labor pain attended maester gerardys several midwife fearful rhaenyra pregnancy far full term daemon hold council lord narrow sea kingsguard captain command dragonstone garrison warns watch small ship trying land island fearing green may try stealth attack tell captain conscript dragonkeepers need bolster number rhaenys find jace luke sparring watchful eye ser steffon darklyn brings mother chamber rhaenyra informs grandfather death aegon usurpation iron throne commanding nothing done without leave
392,daemon informed lord bartimos celtigar lord corlys fever broken departed evenfall though destination unclear daemon command raven sent rally closest ally declares intention fly riverrun secure house tully allegiance rally riverlords jace enters relay mother command daemon disregard jace command lord celtigar send raven instructs jace kingsguard follow dragonmont slope daemon question lorent steffon allegiance lie compelling swear oath loyalty rhaenyra queen jace heir caraxes loom two knight warn price treason chamber screaming rhaenyra ignoring offer midwife help give birth stillborn daughter planned name visenya later prepares child burial watchful eye silent sister daemon go beach grieve small funeral held next day interrupted arrival ser erryk cargyll kneel rhaenyra declares loyalty offer father crown stolen red keep confusion green coup daemon place crown rhaenyra head declares queen son stepdaughter kingsguard congregation save rhaenys kneel rhaenyra rightful queen seven kingdom
393,black council
394,rhaenyra attendant lord gather around painted table rhaenyra accepts cup wine stepdaughter cousin rhaena targaryen serving cupbearer capacity rhaenyra asking report daemon informs dragonstone garrison stand 30 knight 100 crossbowmen 300 men arm sufficient defend island conquer westeros daemon add sent word men city watch whose loyalty count say many answer gerardys confirms house celtigar massey darklyn staunton bar emmon affirmed loyalty rhaenyra asserts house arryn vale support account kinship late mother aemma arryn gerardys add also sent raven lord grover tully old friend father sway support though rhaenyra insists fickle grover need convinced black strength assurance support war break daemon insists treat grover personally ser steffon mention storm end winterfell lord celtigar reminds house stark reputation honorable oathkeepers asserts northern house follow starks lead rhaenyra remark lord borros baratheon need reminded late father boremund oath rhaenyra turn attention rhaenys asking news driftmark rhaenys remark corlys sailing dragonstone though demur daemon assumes intends declare rhaenyra daemon asserts house lannister back green tyland loyal supporter otto small council year green need lannister fleet velaryons choose back rhaenyra given house lannister allegiance ensure westerlands support green daemon asserts support riverlands black cause essential
395,lord celtigar interrupt arguing talk fighting men irrelevant rhaenyra force command dragon number wielded war since valyrian freehold rhaenyra point green command dragon daemon add three adult dragon vhagar sunfyre dreamfyre addition caraxes syrax meleys black posse vermax arrax tyraxes rhaenyra son moondancer baela also note several unclaimed dragon need rider seasmoke vermithor silverwing well three feral dragon grey ghost sheepstealer cannibal living wild dragonstone daemon proposes seizing harrenhal base operation using dragon lay waste king landing discussion ser erryk interrupt inform galleon approaching island flying banner three headed green dragon daemon grab dark sister order garrison battle position
396,green term
397,bridge leading dragonstone daemon three kingsguard knight detachment dragonstone garrison intercept green negotiation party headed ser otto hightower accompanied ser arryk cargyll grand maester orwyle several guard otto declares instructed dowager queen alicent offer term rhaenyra arrives atop syrax otto greets princess rhaenyra icily retort queen rhaenyra otto companion traitor otto present term king aegon ii offering return rhaenyra publicly acknowledging king keep dragonstone castle pas son jacaerys death lucerys confirmed heir driftmark land holding house velaryon rhaenyra son daemon given place honor court—aegon younger king squire viserys cupbearer king aegon pardon knight lord conspired rhaenyra ascent throne
398,daemon hatefully declares would rather feed son dragon carry cup shield aegon venomously calling nephew drunken usurper cunt king otto retort aegon crowned septon faith eye thousand possession aegon conqueror crown sword name give greater legitimacy adding green also sent term house stark tully baratheon win loyalty rhaenyra asserts three house swore allegiance viserys named heir otto smugly reply old oath make rhaenyra queen asserting succession changed day aegon born even viserys rhaenyra refused see outraged furious rhaenyra rip otto badge office cloak denouncing fucking traitor hand aegon king
399,orwyle hand otto sheaf parchment present rhaenyra closer inspection see page torn ten thousand ship book alicent read girl red keep godswood twenty year ago otto asserts alicent still remembers rhaenyra cared deeply childhood urge rhaenyra accept term sake peace enraged otto attempt manipulate wife daemon draw dark sister declaring alicent answer stuffed father mouth along withered cock prompting side draw sword syrax roar angrily threat rider rhaenyra defuses situation telling otto king landing answer morrow
400,around painted table evening rhaenyra advisor discus term offered green daemon insists easy man kill dragon dragon kill fact numerical superiority dragon give advantage green rhaenyra counter know history valyria thanks father wish rule wasteland ash bone left end war dragon lord celtigar express incredulity rhaenyra considering term offered hightowers rhaenyra asserts duty father heir keep realm stable united rather plunge war even mean sit iron throne daemon scoff protesting green already declared war raise voice inaction rhaenyra tell lord clear chamber leaving daemon room
401,daemon insists rhaenyra submit hightowers stolen birthright urge queen obligated crush rebellion rhaenyra protest bound personal ambition reminding daemon father told song ice fire aegon conqueror prophetic dream targaryen must keep realm united return great evil north daemon seize throat choking rhaenyra daemon angrily hiss viserys obsessed omen portent give feckless reign meaning asserts dragon dream made house targaryen king daemon release rhaenyra though taken aback violence rhaenyra stunned realize viserys never told daemon conqueror vision indicating never life considered daemon heir shaken raised hand wife realization viserys never truly trusted daemon withdraws
402,bedchamber dragonstone corlys velaryon awakes find wife sitting beside bed rhaenys accuses abandoned granddaughter go adventuring stepstones corlys admits error insisting returning sea way coping death child rhaenys also alert vaemond death saddened ambitious pursuit cost family corlys insists rhaenys abandon pursuit iron throne abstain choosing side conflict retire driftmark spend remaining day grandchild rhaenys argues reminding jace luke joffrey claimant iron throne boy never safe aegon ii hold iron throne corlys dismissive idea supporting rhaenyra reminding rhaenys complicit laenor death rhaenys insists rhaenyra one exercising restraint prevent westeros sliding wholesale war
403,next morning corlys accompanied rhaenys baela rhaena join congregation black council rhaenyra quickly express relief see healthy corlys offer condolence viserys death corlys make note daemon absence rhaenyra demur matter require attention corlys considers gathered lord narrow sea bluntly declares win war iron throne well dismissing rhaenyra hope house arryn stark baratheon support rhaenyra asserts aside blood tie arryns baratheons great house swore support claim viserys named heir corlys point includes house hightower forsworn oath rhaenyra reminds house velaryon also swore support brief look wife granddaughter moved stand jace luke corlys note rhaenyra house bound blood common cause insists hightowers allowed get away treason asserting house velaryon fleet support rhaenyra rhaenyra thanks rhaenys support insists first strike wish know support
404,corlys add despite near death stepstones house velaryon control island driven triarchy force region properly garrisoned island return corlys state men institute blockade shipping lane pas stepstones already fleet place second blockade across gullet reinforced rhaenys atop meleys suggestion cut sea trade travel king landing lord celtigar insists sea blockade landward siege could starve green surrender rhaenyra asserts enough men surround king landing need support arryn baratheon stark jace speaks volunteering luke carry rhaenyra demand support dragonback lord find difficult refuse dragonriders raven corlys agrees rhaenyra decides jace travel first eyrie winterfell win allegiance lady jeyne arryn lord cregan stark luke go storm end ensure borros baratheon support
405,evening bridge dragonstone rhaenyra speaks jace luke depart mission rhaenyra note people westeros consider targaryens closer god men aspire rule westeros house targaryen must answer god people end jace luke swear seven pointed star messenger warrior take part fighting rhaenyra tell jace cregan stark closer age hoping find common ground young men assuring lucerys eternally proud borros baratheon honored host prince realm three dragon depart dragonstone jace atop vermax bound eyrie winterfell rhaenys meleys gullet luke arrax headed storm end
406,concurrently daemon head cavern beneath dragonmont singing high valyrian song hāros bartossi enters pitch darkness large cavern dragon growl gout fire beast reveals vermithor dragon ridden king jaehaerys targaryen unclaimed since old king death angered intruder lair vermithor snarl advance daemon latter lock eye vermithor hold ground vermithor becomes subdued
407,storm end
408,prince lucerys fly shipbreaker bay land storm end midst severe thunderstorm detachment baratheon guardsman waiting vhagar horror despite knowing presence mean prince aemond present lucerys tell baratheon guard purpose rhaenyra emissary escorted lord borros great hall storm end lucerys find confronted lord borros four daughter aemond glare nephew silently lucerys tell borros brought message queen borros scoff king aegon asks king queen rule house dragon lucerys hand message one baratheon guard present illiterate lord borros forced call maester read borros take offense maester tell rhaenyra mean remind father oath support pointing green least offered marriage pact betrothing aemond daughter floris return house baratheon support borros asks daughter lucerys wed support rhaenyra lucerys admits already betrothed rhaena
409,borros scornfully dismisses lucerys coming empty handed leave aemond mocking luke lord strong demand lucerys put eye payment eye luke took aemond six year prior claiming intends gift mother lucerys refuse furious aemond draw blade charge aemond intending take borros angrily get foot telling aemond lucerys envoy bloodshed underneath roof ordering guard escort luke back dragon time lucerys return arrax storm full force howling wind heavy rain battering pair take unaware aemond following vhagar intention claiming debt aemond suddenly attack cloud using vhagar terrorize cursing luke high valyrian confrontation continues luke loses control arrax spit fire vhagar older dragon enraged disobeys aemond command killing arrax luke one bite horrified aemond watch arrax mangled remains fall sky aware impulsiveness rage lack control made kinslayer ensured rhaenyra never accept peaceful resolution conflict guaranteed war ensue
410,rhaenyra hold another council lord dragonstone daemon approach whisper ear news lucerys death rhaenyra briefly stagger grief turning face council expression vengeful fury
411,appearance
412,main article black queen appearance
413,cast
414,note
415,9 17 starring cast member appear episode
416,starring cast member olivia cooke alicent hightower fabien frankel criston cole sonoya mizuno mysaria graham mctavish harrold westerling matthew needham larys strong jefferson hall tyland lannister tom glynn carney aegon ii targaryen phia saban helaena targaryen credited appear episode
417,david cronnelly matt crook eduardo gago richard hansen rowley irlam leigh maddern leona mccarron nikita mitchell elliot murray paul shapcott sam stefan harvey taylor josh wheeldon richard wheeldon willoughby rob bowen stunt performer episode
418,behind scene
419,general
420,first episode alicent hightower criston cole harrold westerling appear
421,show follows tradition game throne least one king killed per season except season 7 season one king died viserys
422,dragonstone
423,daemon claim alicent murdered viserys according fire blood one ever claimed viserys murdered whether alicent anyone else mushroom writes since unreliable historian general according book many fable partake fool fevered imaginings historical truth statement questionable even king landing viserys died
424,daemon book rhaenys list seventeen dragon enemy disposal dragon used rider past wild dragon mention dragon name completed according book
425,green dreamfyre vhagar sunfyre adult one tessarion
426,black syrax caraxes meleys vermax arrax tyraxes moondancer
427,unclaimed seasmoke vermithor silverwing
428,laenor velaryon king jaehaerys targaryen queen alysanne targaryen rider dragon respectively death one replaced till beginning war
429,wild dragon cannibal sheepstealer grey ghost
430,book rhaenys mentioned one dragon stormcloud however stormcloud status unclear given aegon younger far younger outbreak dance book counterpart possible stormcloud either hatchling far small ridden hatched yet
431,addition aforementioned eighteen dragon book mention two morghul shrycox alive beginning war thus total number dragon point twenty dragon hatched war young ridden participate war one mentioned name morning
432,book rhaenyra pointed actually five dragon green four dragon since strong enough fly six riderless dragon claimed yet moondancer stormcloud claimed ridden yet
433,rhaenyra act similarly daenerys stormborn reject suggestion send dragon immediately attack king landing since wish kill innocent people state wish rule kingdom ash bone similarly daenerys word queen ash
434,book rhaenyra never said word lord celtigar urged fly king landing reduce ash bone corlys rhaenyra daemon rejected suggestion
435,fourth time song ice fire mentioned show following heir dragon king narrow sea lord tide
436,seems corlys resent daemon killing vaemond lord tide maybe recognizes viserys could dismiss vaemond obnoxious behavior unpunished vaemond haste bury corlys claim seat rhaenys say
437,rhaenyra receives alicent page rhaenyra tore ten thousand ship heir dragon maybe alicent meant remind rhaenya time friend thus persuade resolve conflict without bloodshed
438,indeed alicent intention must missed irony passage torn page nymeria formidable warrior consistently defied patriarchal rule custom world took dorne survived invasion uprising assassination attempt succeeded daughter contrast inheritance law region westeros according male heir ahead female heir thus passage would encourage rhaenyra fight iron throne rather submit half brother
439,encounter dragonstone greatly resembles encounter rogue prince place leader rhaenyra arrives riding syrax event resolved non violently difference time rhaenyra side daemon impressive arrival meant discourage otto retinue rather discourage daemon
440,daemon act episode consistently conduct previous episode quarrelsome rash ever parallel book scene however acted surprisingly restrained staid manner character agreed wife try resolving conflict word went battle first rally supporter rejected lord celtigar suggestion send dragon destroy king landing immediately pointing enemy fearsome dragon could kill dragon would sacrifice needlessly unless alternative
441,storm end
442,deadly encounter aemond luke confirms viserys said heir dragon idea control dragon illusion power man never trifled valyrian dragonlords could control dragon using binding spell magical horn targaryens migrated westeros neither
443,daenerys realizes dance dragon chapter 71 daenerys x drogon allows ride back make fly back meereen also parallel scene mother mercy
444,two sword drogon snap daenerys try keep bullying lamb brother jorah mormont state dragon khaleesi never tamed even mother
445,conclusion dragon first foremost wild animal fully tamed true many animal real life well dragon intelligent rather mindless beast form bond people enough trust let ride back even dragon bonded reared birth 100 loyal domesticated capable ignoring disobeying outright command arrax vhagar gave baser instinct attacked threatened even real life domesticated animal bond rider either insufficient stop outright ignored
446,scene storm end resembles scene form dance dragon chapter 19 davos iii davos arrives white harbor persuade lord wyman manderly support stannis dismay find envoy house frey already lord manderly agreed wed granddaughter frey lord manderly treat open hostility attending people taunt reluctantly admits stannis nothing offer lord manderly except avenging son wendel murdered red wedding one frey threaten davos draw sword lord manderly forbids spill blood court
447,following davos pov chapter revealed lord manderly hostility toward davos pretence make frey spy court believe loyal crown actually want settle score responsible wendel death agrees support stannis condition davos find rickon stark unclear whether lord borros baratheon acted genuinely secretly support black
448,confrontation lucerys aemond resembles willem blackwood jerrel bracken king narrow sea confrontation take place storm end involve older youth taunting younger insult craven involve drawing weapon sword younger dagger older result death however confrontation lucerys aemond never come blow inside storm end younger boy dy
449,killing luke aemond become kinslayer even intend book proud killing lost control dragon initiated encounter thus responsibility
450,aemond rash behavior episode slightly resembles joffrey baratheon foolish decision execute eddard stark ruined chance resolve conflict peacefully ignited extremely destructive war cost life countless innocent people
451,altered deleted scene
452,following unused monologue written rhaenyra visenya daughter born abomination mayhaps warning god augury born day father died crown stolen would called visenya meant david j peterson commissioned translate monologue high valyrian 1
453,scene baela rhaenys former insists fighting rhaenyra baela proclaims dragonrider say green must answered fire blood rhaenys mus saw daughter laena first time year 2
454,original storyboard final scene take place dragonstone throne room rhaenyra sitting throne daemon approaching deliver news luke death rhaenyra scream looking camera syrax emerges 3
455,version filmed another minute daemon receives news luke death cut 4
456,book
457,episode adapted chapter dying dragon — black green dying dragon — son son fire blood
458,gallery
459,video
460,image
461,promotional still
462,screenshots
463,reference
464,external link
465,black queen wiki ice fire
466,black queen hbo
467,black queen imdb
468,black queen house dragon wikipedia article episode eponymous character see daemon targaryen
469,rogue prince second episode first season house dragon second episode series overall premiered august 28 2022 hbo hbo max written ryan condal directed greg yaitanes
470,premise
471,rhaenyra oversteps small council viserys urged secure succession marriage daemon announces intention
472,synopsis
473,stepstones
474,beach one island craghas drahar prince admiral triarchy force executes shipwrecked westerosi sailor nailing post beach either drown slowly eaten alive crab drawn tide
475,crownlands
476,king viserys small council discus recent death ser ryam redwyne lord corlys velaryon furiously storm chamber raging triarchy force sunk four westerosi ship including one velaryon fleet demand action insisting allowed use royal fleet clear stepstones ser otto hightower lord lyman beesbury argue starting war free city financing drahar occupation viserys explains sent envoy triarchy enemy pentos volantis prospect alliance common foe corlys retort inaction strengthen belief free city viserys weak evidenced fact done nothing end daemon illegal occupation dragonstone almost half year rhaenyra speaks suggesting velaryon fleet backed targaryen dragonriders could easily reclaim stepstones suggestion meet corlys approval otto urging viserys override suggestion dispatch ser harrold westerling consider prospective replacement ser ryam
477,maegor holdfast rhaenyra watch ser harrold present various knight take ser ryam place kingsguard rhaenyra dismissive asking harrold seen actual combat rather tourney fighting sole candidate ser criston cole explains previously fought dornish raider despite otto protest politically valuable candidate chosen rhaenyra insists want father defended knight actually fight pick criston vacancy
478,private chamber viserys talk alicent hightower pondering model valyria expressing hope try match old valyria glory conversation turn rhaenyra viserys admitting uncertainty speak rhaenyra wake mother aemma death alicent advises viserys reach daughter bridge gap though admits mentioned dalliance viserys rhaenyra fear reaction alicent offer advice back rhaenyra go pray grand sept
479,later afternoon red keep garden viserys meet corlys wife princess rhaenys targaryen viserys corlys exchange apology terse word small council chamber corlys repeat advice allowing free city think viserys weak firstly striking back stepstones marriage viserys daughter laena uniting house targaryen dragon house velaryon fleet prove strength reign viserys wary new marriage soon aemma death rhaenys reminds expected remarry produce heir strengthen line rhaenyra reiterates advice grand maester mellos also support union remarking would go long way healing rift house targaryen velaryon left great council 101 ac though otto seethes corlys ambition
480,next day rhaenyra rhaenys watch balcony red keep viserys walk laena viserys visibly uncomfortable potentially marrying child laena interested hearing viserys experience last rider balerion well pondering whereabouts vhagar rhaenys bluntly tell rhaenyra whoever father take wife viserys son men westeros expect son heir rhaenyra rhaenys note given passing men westeros accept woman iron throne
481,later evening viserys dines privately alicent company commiserates reluctance wedding new queen gift repaired model dragon miniature valyria otto interrupt meal inform king called emergency meeting small council one dragonkeepers present meeting informs viserys egg stolen dragonpit culprit none daemon left missive announcing intention take mistress mysaria second wife flippantly inviting brother council attend mysaria child daemon wish place dragon egg infant cradle keeping targaryen tradition viserys furious latest display insolence younger brother declares intention retake dragonstone daemon otto insists king risk warning daemon unpredictable fortified island castle private army gold cloak volunteer lead effort expel daemon dragonstone rhaenyra also left angry learns egg daemon stolen one picked little brother baelon departing dragonstone otto meet alicent private urge continue liaison king
482,ser otto hightower force consisting ser harrold westerling ser criston cole twenty household guard arrive dragonstone daemon accompanied mysaria detachment gold cloak intercept bridge leading castle otto relay viserys demand daemon relinquish stolen dragon egg castle disband private army banish mysaria daemon refuse insulting otto criston process insisting merely following house tradition otto threatens mysaria daemon draw dark sister prompting side draw weapon though otto order men sheathe weapon caraxes appears defend master
483,tension spill open conflict rhaenyra arrives unannounced syrax dismount brush past protesting otto confront daemon personally rhaenyra dare uncle kill truly wish reclaim former status father heir daemon bring murder niece cold blood even old position begrudgingly toss rhaenyra dragon egg retreating mysaria retinue back castle rhaenyra turn egg care dragonkeepers
484,within castle mysaria reveals pregnant daemon concocted claim spite brother berates daemon provoking viserys stating enjoys degree protection king younger brother would likely end one pay price daemon antic daemon assures mysaria protect
485,otto men gone viserys meet lord lyonel strong impartial opinion prospective marriage laena velaryon although lyonel acknowledges viserys discomfort marrying child add strengthening alliance house velaryon could temper corlys bitterness great council decision unify last descendant valyria ensure crown access velaryon fleet situation stepstones deteriorate open war meeting interrupted grand maester mellos informing viserys rhaenyra departure return dragonstone
486,kingsguard escort rhaenyra father chamber angrily chides daughter taking without leave risking life though concede could recovered egg ended situation daemon bloodlessly speak aemma time viserys noting rhaenyra inherited lot reluctantly broaching subject prospective remarriage viserys insists replace aemma rhaenyra heir anything happen house targaryen would come end though viserys insists replace rhaenyra heir even new wife give son must ensure continuation line
487,small council meeting next morning viserys declares intention marry alicent hightower otto look pleased king decision rest small council stand silent shock alicent averts eye rhaenyra furious latest insult family corlys storm chamber rhaenyra follows disgusted hurt father friend keeping
488,enraged snubbing daughter viserys corlys invite daemon targaryen castle high tide corlys rage viserys disregard lack respect family loyal service citing daemon fall viserys good grace proof share common cause men action forced make way world never received due respect appreciation effort although daemon chides corlys speaking disrespectfully brother intrigued corlys proposes joint expedition eliminate crabfeeder clear triarchy force stepstones simultaneously claim wealth glory proving value dissenter viserys court
489,appearance
490,main article rogue prince appearance
491,cast
492,note
493,10 14 starring cast member appear episode
494,starring cast member emma arcy rhaenyra targaryen olivia cooke alicent hightower matthew needham larys strong jefferson hall jason tyland lannister credited appear episode
495,david cronnelly eduardo gago richard hansen rowley irlam leigh maddern leona mccarron nikita mitchell paul shapcott sam stefan harvey taylor josh wheeldon richard wheeldon willoughby david chapman doren john farmer rob hayns ramón jiménez gavin lee lewis josé antonio oña sánchez brandy rodríguez jonathan staple luke tumber stunt performer episode
496,quote
497,corlys velaryon fear eye enemy presently fixed red keep queen passed girl named heir iron throne first history king brother disinherited claimed targaryen seat dragonstone without challenge foreign power established colony critical shipping lane
