id,paragraphs
20,word sink rhaenyra viserys apologizes spending year chasing son already worthy heir daughter insists making great queen cement trust viserys tell rhaenyra truth known family aegon conqueror solely motivated ambition lust power conquer westeros like daenys targaryen foresaw doom valyria aegon vision foretold end world men aegon foresaw end would preceded terrible winter descending north lurked within storm would destroy world living unless kingdom men united targaryen lead since aegon time targaryen king passed knowledge aegon vision dubbed song ice fire heir ensure westeros ready evil aegon foresaw finally descended upon mankind
21,gathering realm nobility including house velaryon hightower stark baratheon viserys bear witness noble declare oath fealty rhaenyra named heir dragonpit daemon absent ceremony present mysaria dragon caraxes take flight caraxes back
22,appearance
23,main article heir dragon appearance
24,cast
25,note
26,11 14 starring cast member appear episode
27,includes opening narration emma arcy
28,starring cast member olivia cooke alicent hightower matthew needham larys strong jefferson hall jason tyland lannister credited appear episode
29,ferenc berecz roberto bonacini benitez robert bowen david cronnelly richard hansen nicklas hansson david hernández silva gergely horpasci max haeusle tsvetolyub iliev rowley irlam erin jameson leigh maddern alvaro martin ronco leona mccarron nikita mitchell eduardo moratilla antonio ona sanchez abian padron elitsa razheva ricardo rocca ildebrando rodriguez nick roeten stanislav satko paul shapcott sam stefan harvey taylor pedro torres marek toth gyula toth josh wheeldon willoughby gábor zámbó marco bertagna david chapman joel conlan ricardo cruz jr josh dyer dan euston pete ford eduardo gago muñoz martin gordon richard hall rob hayns erol ismail gavin lee lewis oleg podobin luke tumber stunt performer episode
30,quote
31,rhaenyra targaryen opening narration first century targaryen dynasty came close health old king jaehaerys failing day house targaryen stood height strength ten adult dragon yoke power world could stand king jaehaerys reigned nearly sixty year peace prosperity tragedy claimed son leaving succession doubt year 101 old king called great council choose heir thousand lord made journey harrenhal fourteen succession claim heard two truly considered princess rhaenys targaryen king eldest descendant younger cousin prince viserys targaryen king eldest male descendant
32,high septon flashback declared lord paramount lord vassal seven kingdom prince viserys targaryen made prince dragonstone
33,rhaenyra narrating rhaenys woman would inherit iron throne lord instead chose viserys father jaehaerys called great council prevent war fought succession knew cold truth thing could tear house dragon
34,harrold westerling welcome back princess trust ride pleasant
35,rhaenyra targaryen need look relieved ser
36,harrold relieved every time golden beast brings back unspoiled save head spike
37,daemon targaryen took command watch stray mongrel starving undisciplined pack hound sated honed hunt brother city fallen squalor crime every breed allowed thrive longer beginning tonight king landing learn fear color gold
38,otto hightower god yet make man lack patience absolute power grace
39,corlys velaryon else would claim
40,otto hightower king firstborn child
41,lyonel strong rhaenyra girl queen ever sat iron throne
42,grand maester mellos tradition precedent lord strong
43,lyonel strong order stability concern council perhaps overturn one hundred year naming girl heir
44,viserys targaryen made choose brother daughter
45,corlys velaryon grace others would claim
46,lyonel strong wife lord corlys queen never
47,corlys velaryon rhaenys child jaehaerys eldest son strong claim great council already male heir
48,otto hightower moment ago announced support daemon
49,lyonel strong agree heir expect realm to…
50,viserys targaryen wife son dead sit suffer crow come feast corps
51,viserys targaryen heir day say
52,daemon targaryen must mourn way grace
53,viserys targaryen family destroyed instead side rhaenyra chose celebrate rise laughing whore lickspittles ally court ever defended yet everything given thrown back face
54,daemon targaryen ever tried send away vale city watch anywhere side ten year king yet asked hand
55,viserys targaryen would
56,daemon targaryen brother blood dragon run thick
57,viserys targaryen cut deeply
58,daemon targaryen ever spoken truth see otto hightower
59,viserys targaryen unwavering loyal hand
60,daemon targaryen cunt second son stand inherit nothing seize
61,viserys targaryen otto hightower honorable man could ever
62,daemon targaryen protect would
63,viserys targaryen
64,daemon targaryen weak viserys council leech know
65,viserys targaryen sorry rhaenyra wasted year since born wanting son best mother believe know could great ruling queen
66,rhaenyra targaryen daemon heir…
67,viserys targaryen daemon made wear crown believe trivial gesture rhaenyra dragon saddle one thing iron throne dangerous seat realm
68,viserys targaryen talking rhaenyra something else need tell might difficult understand must hear history tell u aegon looked across blackwater dragonstone saw rich land ripe capture ambition alone drove conquest dream daenys foresaw end valyria aegon foresaw end world men ti begin terrible winter gusting distant north aegon saw absolute darkness riding wind whatever dwells within destroy world living great winter come rhaenyra westeros must stand world men survive targaryen must seated iron throne king queen strong enough unite realm cold dark aegon called dream song ice fire secret passed king heir since aegon time must promise carry protect promise rhaenyra promise
69,behind scene
70,general
71,camerawork cinematography house dragon notably distinct predecessor game throne even though episode directed miguel sapochnik veteran director prior series explained interview den geek key difference story simply cover many vastly different physical location across different continent longer use color filter distinguish game throne blue color filter used wall give impression colder higher altitude le light king landing scene used orange color filter give impression warmer climate etc given much house dragon season 1 set king landing nearby dragonstone driftmark showrunners sapochnik ryan condal decided drop use color filter let natural color pop screen highlighting targaryen golden age full bright opulent heraldry 1
72,title episode derives chapter fire blood adapted heir dragon — question succession
73,viserys referred full title king andals rhoynar first men game throne usually omitted mention rhoynar dorne introduced season 4 writer unsure would ever appear
74,viserys refers bell tolling grand sept great sept great sept baelor built another half century great sept replaced earlier one atop visenya hill
75,another way skyline king landing different dragonpit atop rhaenys hill yet ruin mega structure scale red keep used massive stable dragon
76,cold open prologue harrenhal entire episode set king landing
77,daemon introduced sitting iron throne harrold westerling shocked rhaenyra say heir executed treason king allowed sit iron throne indisposed hand king anyone else including designated heir sit officially treason daemon even official heir time presumed heir daemon flippancy towards rule immediately display first scene much rogue
78,scene near end end episode daemon remark heir day brothel first several unreliable narrator moment fire blood due framing device universe history book conflicting source source say daemon remark repeated whore lap plausible one say one gold cloak eager promotion repeated tv episode avoids directly showing otto found though present daemon actually morose death brother wife son entertaining whore lap cut away showing said importantly said flippant celebrating depressed bitterly sarcastic
79,scene rhaenyra alicent castle godswood prominently discus book nymeria warrior princess rhoynar founder unified dorne perhaps coincidentally time made hbo actively considering pitch additional prequel spinoff story nymeria writer amanda segel time episode aired nymeria project advanced pitch phase hbo ordered full pilot episode script written working title ten thousand ship filming greenlit yet however hbo waiting see well house dragon performs
80,viserys word sit suffer crow come feast corps perhaps reference fourth novel feast crow
81,scene near end episode viserys summons rhaenyra meet front balerion skull first scene milly alcock filmed 2
82,costume designer jany temime gave several detail extravagant investiture outfit rhaenyra wear final scene episode temime described overall design inspired byzantine element explained look different design court contemporary design idea ceremonial robe passed four five generation worn new prince dragonstone formally invested heir throne thus robe apparently go back time aegon conqueror used son subsequent king next four generation aegon grandson jaehaerys jaehaerys grandson viserys heirloom investiture robe therefore offer glimpse earlier art style conquest generation hinted byzantine inspired took team three people ten week embroider entire outfit 3 accessory however particularly large earring inspired moroccan wedding dress 4
83,early development series george r r martin suggested first episode titled heir spare centering relationship aemon baelon targaryen leading death martin account one enthused idea 5
84,filming location
85,home base production shifted titantic studio belfast game throne massive wb leavesden studio complex outside london england
86,exterior filming location season included part england spain portugal episode
87,first scene rhaenyra landing dragonpit actually filmed leavesden studio backlot instead filmed quarry located peak district northern england
88,many king landing street scene filmed cáceres spain previously used king landing location starting game throne season 7
89,funeral pyre scene rhaenyra mother queen aemma seaside cliff outside city filmed devon england according ryan condal one difficult exterior location filmed season 1 due extreme remoteness allowed use real fire funeral pyre protected site 3
90,new red keep set
91,many scene set red keep interior set combined one large interconnected set various point camerawork highlight following character uninterrupted cut walk room 6
92,new red keep set 62 meter long 39 meter wide 13 5 meter height tallest point includes multiple level functional staircase interior combined area 35 000 square foot entire combined set took four month build 3
93,entire red keep filled erotic valyrian tapestry according showrunners meant highlight series begin age decadence opulence targaryens height fear judgement anyone including leadership faith seven 3
94,iron throne significantly expanded showrunner ryan condal explained iron throne book 40 foot tall requires small stair reach seat due limit budget space iron throne developed first season game throne large chair made melted sword george r r martin liked design considers iconic always noted like book condal tried meet halfway making closer martin vision still honoring original design result iron throne pile melted sword expands raised step end hall original iron throne game throne center condal said implication targaryen dynasty declined century extra part eventually removed making look like original tv series 3
95,decoration iron throne room general different game throne though original series already established different ruler sometimes redecorate joffrey took robert baratheon died replaced metal vine decoration column spike roaring fire era column throne room decorated large statue prior targaryen king specifically four column statue first four king came viserys remaining column stretching back hall empty space future generation king column also decorated relief sculpture wrapping around like trajan column depicting historical scene 3
96,new room used small council meeting much wider larger window miguel sapochnik explained ordered room position camera anywhere want instead limited angle let light shot 3
